País,Edad Dueño
Costa Rica,41
Costa Rica,46
Costa Rica,53
Costa Rica,47
Costa Rica,37
Costa Rica,37
Costa Rica,55
Costa Rica,40
Costa Rica,39
Costa Rica,34
Costa Rica,29
Costa Rica,55
Costa Rica,41
Costa Rica,30
Costa Rica,39
Costa Rica,42
Costa Rica,55
Costa Rica,45
Costa Rica,41
Costa Rica,55
Costa Rica,60
Costa Rica,27
Costa Rica,59
Costa Rica,50
Costa Rica,44
Costa Rica,37
Costa Rica,30
Costa Rica,38
Costa Rica,43
Costa Rica,62
Panamá,39
Panamá,60
Panamá,35
Panamá,61
Panamá,39
Panamá,60
Panamá,32
Panamá,48
Panamá,41
Panamá,40
Panamá,40
Panamá,62
Panamá,51
Panamá,60
Panamá,50
Panamá,42
Panamá,32
Panamá,51
Panamá,40
Panamá,33
Panamá,41
Panamá,54
Panamá,59
Panamá,41
Panamá,32
Panamá,63
Panamá,58
Panamá,38
Panamá,31
Panamá,48
Guatemala,32
Guatemala,61
Guatemala,52
Guatemala,57
Guatemala,40
Guatemala,31
Guatemala,34
Guatemala,62
Guatemala,46
Guatemala,64
Guatemala,46
Guatemala,49
Guatemala,28
Guatemala,64
Guatemala,51
Guatemala,33
Guatemala,40
Guatemala,58
Guatemala,59
Guatemala,25
Guatemala,37
Guatemala,58
Guatemala,64
Guatemala,54
Guatemala,32
Guatemala,44
Guatemala,31
Guatemala,64
Guatemala,61
Guatemala,33
Honduras,40
Honduras,30
Honduras,50
Honduras,52
Honduras,26
Honduras,52
Honduras,62
Honduras,27
Honduras,31
Honduras,50
Honduras,58
Honduras,52
Honduras,40
Honduras,34
Honduras,41
Honduras,44
Honduras,49
Honduras,55
Honduras,44
Honduras,61
Honduras,26
Honduras,28
Honduras,61
Honduras,42
Honduras,57
Honduras,26
Honduras,52
Honduras,52
Honduras,43
Honduras,44
El Salvador,53
El Salvador,43
El Salvador,42
El Salvador,35
El Salvador,38
El Salvador,36
El Salvador,43
El Salvador,61
El Salvador,35
El Salvador,54
El Salvador,45
El Salvador,42
El Salvador,25
El Salvador,47
El Salvador,27
El Salvador,31
El Salvador,62
El Salvador,33
El Salvador,60
El Salvador,41
El Salvador,50
El Salvador,58
El Salvador,60
El Salvador,52
El Salvador,53
El Salvador,57
El Salvador,47
El Salvador,41
El Salvador,33
El Salvador,46
